IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.140,2095,2095,FALSE,SIN,Asia Pacific,Singapore,111,0.08
47.238.49.85,80,443,TRUE,SIN,Asia Pacific,Singapore,52,0.08
47.237.95.156,80,80,FALSE,SIN,Asia Pacific,Singapore,114,0.07
47.237.125.8,2052,2052,FALSE,SIN,Asia Pacific,Singapore,158,0.06
47.236.145.85,2086,2086,FALSE,SIN,Asia Pacific,Singapore,185,0.06
47.76.255.235,80,443,TRUE,SIN,Asia Pacific,Singapore,47,0.05
47.239.13.168,80,443,TRUE,SIN,Asia Pacific,Singapore,31,0.05
47.236.165.25,8080,8080,FALSE,SIN,Asia Pacific,Singapore,181,0.05
47.236.169.15,8880,8880,FALSE,SIN,Asia Pacific,Singapore,186,0.05
47.236.17.193,80,80,FALSE,SIN,Asia Pacific,Singapore,172,0.05
47.237.95.13,2052,2052,FALSE,SIN,Asia Pacific,Singapore,136,0.05
47.236.150.13,8880,8880,FALSE,SIN,Asia Pacific,Singapore,174,0.05
47.236.169.141,2086,2086,FALSE,SIN,Asia Pacific,Singapore,188,0.05
47.236.144.196,80,80,FALSE,SIN,Asia Pacific,Singapore,203,0.04
47.236.150.13,2082,2082,FALSE,SIN,Asia Pacific,Singapore,181,0.04
47.236.202.91,2095,2095,FALSE,SIN,Asia Pacific,Singapore,215,0.04
47.237.125.8,2083,2083,TRUE,SIN,Asia Pacific,Singapore,142,0.03
47.236.168.17,2052,2052,FALSE,SIN,Asia Pacific,Singapore,176,0.03
47.236.117.48,2095,2095,FALSE,SIN,Asia Pacific,Singapore,180,0.03
47.236.253.41,2086,2086,FALSE,SIN,Asia Pacific,Singapore,169,0.03
47.237.84.173,2052,2052,FALSE,SIN,Asia Pacific,Singapore,117,0.03
47.236.150.13,2086,2086,FALSE,SIN,Asia Pacific,Singapore,184,0.03
47.236.83.239,2095,2095,FALSE,SIN,Asia Pacific,Singapore,178,0.03
47.237.11.182,2096,2096,TRUE,SIN,Asia Pacific,Singapore,545,0.03
47.237.84.173,80,80,FALSE,SIN,Asia Pacific,Singapore,529,0.03
47.236.9.152,2095,2095,FALSE,SIN,Asia Pacific,Singapore,261,0.03
47.236.202.91,2052,2052,FALSE,SIN,Asia Pacific,Singapore,182,0.03
47.236.144.208,8880,8880,FALSE,SIN,Asia Pacific,Singapore,196,0.02
47.237.100.206,2053,2053,TRUE,SIN,Asia Pacific,Singapore,117,0.02
47.236.172.95,2082,0,FALSE,SIN,Asia Pacific,Singapore,184,0.02
47.237.82.15,8880,8880,FALSE,SIN,Asia Pacific,Singapore,138,0.02
47.236.146.249,80,80,FALSE,SIN,Asia Pacific,Singapore,177,0.02
47.236.170.225,2052,2052,FALSE,SIN,Asia Pacific,Singapore,169,0.02
47.236.102.102,2095,2095,FALSE,SIN,Asia Pacific,Singapore,265,0.02
47.236.144.196,2095,2095,FALSE,SIN,Asia Pacific,Singapore,276,0.02
47.237.95.146,8443,8443,TRUE,SIN,Asia Pacific,Singapore,171,0.02
47.236.102.102,8880,8880,FALSE,SIN,Asia Pacific,Singapore,168,0.02
47.236.164.215,2052,2052,FALSE,SIN,Asia Pacific,Singapore,182,0.02
47.236.118.216,8880,8880,FALSE,SIN,Asia Pacific,Singapore,546,0.02
47.236.130.95,2087,2087,TRUE,SIN,Asia Pacific,Singapore,284,0.02
47.237.81.112,2082,2082,FALSE,SIN,Asia Pacific,Singapore,639,0.02
47.236.75.152,2095,2095,FALSE,SIN,Asia Pacific,Singapore,183,0.02
47.237.8.82,8080,8080,FALSE,SIN,Asia Pacific,Singapore,150,0.02
47.236.170.54,8880,8880,FALSE,SIN,Asia Pacific,Singapore,173,0.01
47.236.9.152,2082,2082,FALSE,SIN,Asia Pacific,Singapore,180,0.01
47.236.93.176,2096,2096,TRUE,SIN,Asia Pacific,Singapore,182,0.01
47.236.10.182,2095,2095,FALSE,SIN,Asia Pacific,Singapore,178,0.01
47.237.8.82,8880,8880,FALSE,SIN,Asia Pacific,Singapore,121,0.01
47.236.97.90,2087,2087,TRUE,SIN,Asia Pacific,Singapore,177,0.01
47.237.0.31,8080,8080,FALSE,SIN,Asia Pacific,Singapore,128,0.01
47.237.95.156,2086,2086,FALSE,SIN,Asia Pacific,Singapore,529,0.01
47.236.189.92,2083,2083,TRUE,SIN,Asia Pacific,Singapore,262,0.01
47.76.243.157,80,443,TRUE,SIN,Asia Pacific,Singapore,134,0.01
210.186.12.244,443,443,TRUE,SIN,Asia Pacific,Singapore,168,0.01
47.236.253.41,2052,2052,FALSE,SIN,Asia Pacific,Singapore,182,0.01
47.236.254.120,2086,2086,FALSE,SIN,Asia Pacific,Singapore,158,0.01
47.237.0.31,8880,8880,FALSE,SIN,Asia Pacific,Singapore,120,0.01
47.236.123.133,80,80,FALSE,SIN,Asia Pacific,Singapore,168,0.01
47.236.180.24,2095,2095,FALSE,SIN,Asia Pacific,Singapore,546,0.01
47.236.172.95,2096,2096,TRUE,SIN,Asia Pacific,Singapore,186,0.01
47.236.9.152,8880,8880,FALSE,SIN,Asia Pacific,Singapore,191,0.01
47.236.254.120,8080,8080,FALSE,SIN,Asia Pacific,Singapore,184,0.01
47.236.10.182,8443,8443,TRUE,SIN,Asia Pacific,Singapore,265,0.01
47.236.169.141,2095,2095,FALSE,SIN,Asia Pacific,Singapore,592,0.01
47.236.117.48,2053,2053,TRUE,SIN,Asia Pacific,Singapore,179,0
47.236.10.100,2082,2082,FALSE,SIN,Asia Pacific,Singapore,168,0
47.236.168.17,2082,2082,FALSE,SIN,Asia Pacific,Singapore,267,0
47.236.174.206,2052,2052,FALSE,SIN,Asia Pacific,Singapore,263,0
47.236.169.15,2086,2086,FALSE,SIN,Asia Pacific,Singapore,208,0
47.236.93.176,8443,8443,TRUE,SIN,Asia Pacific,Singapore,189,0
47.236.174.206,2096,2096,TRUE,SIN,Asia Pacific,Singapore,176,0
47.236.17.193,2095,2095,FALSE,SIN,Asia Pacific,Singapore,183,0
47.236.171.205,8880,8880,FALSE,SIN,Asia Pacific,Singapore,169,0
47.236.254.120,2052,2052,FALSE,SIN,Asia Pacific,Singapore,273,0
47.237.100.206,2082,2082,FALSE,SIN,Asia Pacific,Singapore,119,0
47.237.10.1,2086,2086,FALSE,SIN,Asia Pacific,Singapore,238,0
172.93.165.228,443,443,TRUE,HKG,Asia Pacific,Hong Kong,47,0
47.236.172.71,2095,2095,FALSE,SIN,Asia Pacific,Singapore,172,0
47.236.5.223,2052,2052,FALSE,SIN,Asia Pacific,Singapore,182,0
47.237.94.140,2095,2095,FALSE,SIN,Asia Pacific,Singapore,158,0
47.236.80.110,2083,2083,TRUE,SIN,Asia Pacific,Singapore,207,0
47.236.75.152,8880,8880,FALSE,SIN,Asia Pacific,Singapore,169,0
47.250.150.193,80,443,TRUE,SIN,Asia Pacific,Singapore,697,0
47.236.170.225,2087,2087,TRUE,SIN,Asia Pacific,Singapore,183,0
47.236.97.90,2083,2083,TRUE,SIN,Asia Pacific,Singapore,270,0
47.237.125.8,2053,2053,TRUE,SIN,Asia Pacific,Singapore,115,0
47.236.171.205,2095,2095,FALSE,SIN,Asia Pacific,Singapore,182,0
47.236.180.51,2052,2052,FALSE,SIN,Asia Pacific,Singapore,177,0
47.236.237.90,2083,2083,TRUE,SIN,Asia Pacific,Singapore,195,0
47.236.130.95,8443,8443,TRUE,SIN,Asia Pacific,Singapore,170,0
47.237.0.31,2095,2095,FALSE,SIN,Asia Pacific,Singapore,234,0
47.236.237.90,2096,2096,TRUE,SIN,Asia Pacific,Singapore,165,0
47.236.180.51,2096,2096,TRUE,SIN,Asia Pacific,Singapore,174,0
47.236.80.110,2095,2095,FALSE,SIN,Asia Pacific,Singapore,262,0
47.236.172.95,2095,2095,FALSE,SIN,Asia Pacific,Singapore,265,0
47.236.144.156,80,80,FALSE,SIN,Asia Pacific,Singapore,266,0
47.236.17.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,261,0
47.236.181.185,8443,443,TRUE,SIN,Asia Pacific,Singapore,529,0
47.236.189.92,2086,2086,FALSE,SIN,Asia Pacific,Singapore,262,0
47.236.117.48,8080,8080,FALSE,SIN,Asia Pacific,Singapore,180,0
47.236.237.90,2087,2087,TRUE,SIN,Asia Pacific,Singapore,209,0
47.236.167.231,2087,2087,TRUE,SIN,Asia Pacific,Singapore,265,0
43.156.181.203,443,443,TRUE,SIN,Asia Pacific,Singapore,297,0
47.236.130.95,8880,8880,FALSE,SIN,Asia Pacific,Singapore,182,0
47.236.75.152,2083,2083,TRUE,SIN,Asia Pacific,Singapore,204,0
43.128.72.109,443,80,FALSE,SIN,Asia Pacific,Singapore,701,0
47.236.102.102,2083,2083,TRUE,SIN,Asia Pacific,Singapore,707,0
47.236.123.133,2095,2095,FALSE,SIN,Asia Pacific,Singapore,593,0
47.237.81.112,80,80,FALSE,SIN,Asia Pacific,Singapore,233,0
47.237.11.182,2095,0,FALSE,SIN,Asia Pacific,Singapore,126,0
47.236.164.215,2082,2082,FALSE,SIN,Asia Pacific,Singapore,202,0
47.236.130.95,2096,2096,TRUE,SIN,Asia Pacific,Singapore,262,0
47.236.170.54,2087,2087,TRUE,SIN,Asia Pacific,Singapore,196,0
43.156.116.194,443,443,TRUE,SIN,Asia Pacific,Singapore,413,0
47.236.170.225,80,80,FALSE,SIN,Asia Pacific,Singapore,184,0
47.237.100.206,2095,2095,FALSE,SIN,Asia Pacific,Singapore,246,0
47.236.118.216,2096,2096,TRUE,SIN,Asia Pacific,Singapore,197,0
47.236.130.95,2083,2083,TRUE,SIN,Asia Pacific,Singapore,180,0
47.237.10.1,80,80,FALSE,SIN,Asia Pacific,Singapore,237,0
47.236.75.113,2053,2053,TRUE,SIN,Asia Pacific,Singapore,192,0
47.236.145.85,2095,2095,FALSE,SIN,Asia Pacific,Singapore,562,0
47.236.170.54,2052,2052,FALSE,SIN,Asia Pacific,Singapore,195,0
45.159.50.35,58124,443,TRUE,SIN,Asia Pacific,Singapore,103,0
47.237.0.31,2053,2053,TRUE,SIN,Asia Pacific,Singapore,126,0
43.156.27.249,443,443,TRUE,SIN,Asia Pacific,Singapore,298,0
47.237.95.146,2095,2095,FALSE,SIN,Asia Pacific,Singapore,150,0
47.236.237.90,8080,8080,FALSE,SIN,Asia Pacific,Singapore,176,0
47.237.95.140,2052,2052,FALSE,SIN,Asia Pacific,Singapore,160,0
47.236.5.223,2095,2095,FALSE,SIN,Asia Pacific,Singapore,185,0
47.236.164.215,2086,2086,FALSE,SIN,Asia Pacific,Singapore,182,0
47.236.144.156,8880,8880,FALSE,SIN,Asia Pacific,Singapore,182,0
47.236.205.188,8880,8880,FALSE,SIN,Asia Pacific,Singapore,192,0
47.236.174.206,2095,2095,FALSE,SIN,Asia Pacific,Singapore,182,0
47.236.5.223,2087,2087,TRUE,SIN,Asia Pacific,Singapore,185,0
47.236.180.51,2082,2082,FALSE,SIN,Asia Pacific,Singapore,236,0
47.236.102.102,2053,2053,TRUE,SIN,Asia Pacific,Singapore,184,0
47.236.171.205,8080,8080,FALSE,SIN,Asia Pacific,Singapore,207,0
47.236.145.85,443,443,TRUE,SIN,Asia Pacific,Singapore,175,0
13.250.131.37,443,443,TRUE,SIN,Asia Pacific,Singapore,87,0
47.236.172.95,8443,8443,TRUE,SIN,Asia Pacific,Singapore,166,0
47.236.130.95,2052,2052,FALSE,SIN,Asia Pacific,Singapore,202,0
47.236.168.17,2086,2086,FALSE,SIN,Asia Pacific,Singapore,172,0
47.236.123.133,2082,2082,FALSE,SIN,Asia Pacific,Singapore,203,0
47.237.86.185,8880,8880,FALSE,SIN,Asia Pacific,Singapore,151,0
47.236.83.239,8080,8080,FALSE,SIN,Asia Pacific,Singapore,178,0
47.236.167.231,8080,8080,FALSE,SIN,Asia Pacific,Singapore,184,0
47.236.130.95,80,80,FALSE,SIN,Asia Pacific,Singapore,161,0
47.236.104.11,8880,8880,FALSE,SIN,Asia Pacific,Singapore,179,0
47.236.9.152,8080,8080,FALSE,SIN,Asia Pacific,Singapore,176,0
47.236.189.92,2052,2052,FALSE,SIN,Asia Pacific,Singapore,202,0
8.212.41.98,80,80,FALSE,SIN,Asia Pacific,Singapore,147,0
47.237.82.15,2087,2087,TRUE,SIN,Asia Pacific,Singapore,130,0
47.236.253.41,8880,8880,FALSE,SIN,Asia Pacific,Singapore,170,0
47.236.145.85,2052,2052,FALSE,SIN,Asia Pacific,Singapore,168,0
47.236.102.102,80,80,FALSE,SIN,Asia Pacific,Singapore,192,0
47.236.104.11,2052,2052,FALSE,SIN,Asia Pacific,Singapore,175,0
47.236.237.90,2052,2052,FALSE,SIN,Asia Pacific,Singapore,203,0
47.236.83.239,2086,2086,FALSE,SIN,Asia Pacific,Singapore,184,0
47.236.180.51,8080,8080,FALSE,SIN,Asia Pacific,Singapore,187,0
47.236.172.71,8080,8080,FALSE,SIN,Asia Pacific,Singapore,181,0
47.237.92.26,8080,8080,FALSE,SIN,Asia Pacific,Singapore,151,0
104.199.156.241,80,443,FALSE,SIN,Asia Pacific,Singapore,177,0
47.236.144.208,8080,8080,FALSE,SIN,Asia Pacific,Singapore,166,0
